guesses,clues,boards
"['sound', 'light']",senses,"green: ['millionaire', 'wake', 'spring', 'sound', 'light', 'superhero', 'code', 'center', 'capital'], black: ['comic', 'ray', 'sub'], tan: ['embassy', 'boom', 'vacuum', 'conductor', 'witch', 'fighter', 'play', 'force', 'change', 'alien', 'poison', 'scientist']"
"['millionaire', 'center']",rich,"green: ['millionaire', 'wake', 'spring', 'superhero', 'code', 'center', 'capital'], black: ['comic', 'ray', 'sub'], tan: ['embassy', 'boom', 'vacuum', 'conductor', 'witch', 'fighter', 'play', 'force', 'change', 'alien', 'poison', 'scientist']"
"['superhero', 'conductor']",superman,"green: ['wake', 'spring', 'superhero', 'code'], black: ['comic', 'ray', 'sub'], tan: ['embassy', 'boom', 'vacuum', 'conductor', 'witch', 'fighter', 'play', 'force', 'change', 'alien', 'poison', 'scientist']"
"['life', 'death', 'soul']",existence,"green: ['life', 'row', 'death', 'play', 'press', 'soul', 'cycle', 'novel', 'time'], black: ['lead', 'poison', 'genius'], tan: ['grace', 'fall', 'force', 'contract', 'war', 'spy', 'disease', 'ninja', 'spot', 'point', 'lap', 'pitch', 'opera']"
"['novel', 'play']",story,"green: ['row', 'play', 'press', 'cycle', 'novel', 'time'], black: ['lead', 'poison', 'genius'], tan: ['grace', 'fall', 'force', 'contract', 'war', 'spy', 'disease', 'ninja', 'spot', 'point', 'lap', 'pitch', 'opera']"
"['spy', 'ninja']",stealthy,"green: ['lead', 'play', 'spy', 'disease', 'ninja', 'spot', 'lap'], black: ['fall', 'genius', 'time'], tan: ['grace', 'row', 'force', 'contract', 'death', 'poison', 'press', 'war', 'cycle', 'point', 'pitch', 'opera', 'novel']"
"['cycle', 'trip']",bike,"green: ['cycle', 'embassy', 'play', 'genius', 'ninja', 'press', 'war', 'fall'], black: ['time', 'strike', 'disease'], tan: ['change', 'unicorn', 'trip', 'superhero', 'ray', 'alien', 'point', 'mine', 'life', 'contract', 'degree', 'capital', 'spell']"
"['ninja', 'war', 'capital']",japanese,"green: ['play', 'genius', 'ninja', 'press', 'war', 'fall'], black: ['time', 'strike', 'disease'], tan: ['change', 'unicorn', 'superhero', 'ray', 'alien', 'point', 'mine', 'life', 'contract', 'degree', 'capital', 'spell']"
"['degree', 'contract']",college,"green: ['unicorn', 'trip', 'embassy', 'ray', 'genius', 'point', 'strike', 'degree'], black: ['cycle', 'mine', 'time'], tan: ['change', 'superhero', 'play', 'alien', 'ninja', 'press', 'life', 'contract', 'capital', 'war', 'disease', 'spell', 'fall']"
"['tag', 'luck']",price,"green: ['luck', 'tag'], black: ['mammoth', 'cold', 'disease'], tan: ['boom', 'mount', 'opera', 'fair', 'bond', 'king', 'cover', 'light', 'scientist', 'embassy']"
"['conductor', 'opera']",music,"green: ['stock', 'pitch', 'club', 'lap', 'conductor', 'unicorn', 'vacuum', 'day', 'embassy'], black: ['roulette', 'date', 'cold'], tan: ['force', 'center', 'superhero', 'trip', 'agent', 'crash', 'drop', 'luck', 'mammoth', 'undertaker', 'novel', 'contract', 'opera']"
"['pitch', 'vacuum', 'force']",tool,"green: ['stock', 'pitch', 'club', 'lap', 'unicorn', 'vacuum', 'embassy'], black: ['roulette', 'date', 'cold'], tan: ['force', 'center', 'superhero', 'trip', 'agent', 'crash', 'drop', 'luck', 'mammoth', 'undertaker', 'novel', 'contract']"
"['unicorn', 'stock', 'club']",saddle,"green: ['stock', 'club', 'lap', 'unicorn', 'embassy'], black: ['roulette', 'date', 'cold'], tan: ['center', 'superhero', 'trip', 'agent', 'crash', 'drop', 'luck', 'mammoth', 'undertaker', 'novel', 'contract']"
"['date', 'day']",calendar,"green: ['club', 'crash', 'luck', 'date', 'undertaker', 'day', 'novel', 'opera'], black: ['mammoth', 'vacuum', 'cold'], tan: ['force', 'stock', 'roulette', 'center', 'pitch', 'superhero', 'trip', 'agent', 'lap', 'drop', 'unicorn', 'contract', 'embassy']"
"['novel', 'opera']",story,"green: ['club', 'crash', 'luck', 'undertaker', 'novel', 'opera'], black: ['mammoth', 'vacuum', 'cold'], tan: ['force', 'stock', 'roulette', 'center', 'pitch', 'superhero', 'trip', 'agent', 'lap', 'drop', 'unicorn', 'contract', 'embassy']"
"['luck', 'undertaker', 'crash']",funeral,"green: ['crash', 'luck', 'undertaker'], black: ['mammoth', 'vacuum', 'cold'], tan: ['force', 'stock', 'roulette', 'center', 'pitch', 'superhero', 'agent', 'lap', 'unicorn', 'contract', 'embassy']"
"['spy', 'beat']",drum,"green: ['spy', 'state', 'beat', 'field'], black: ['air', 'well', 'compound'], tan: ['mine', 'mass', 'slip', 'wake', 'ghost', 'scientist', 'day', 'sound', 'vacuum', 'conductor', 'ray', 'cold']"
"['date', 'time']",day,"green: ['state', 'compound', 'time', 'slip', 'date', 'figure', 'vacuum', 'play', 'life'], black: ['witch', 'scientist', 'mass'], tan: ['embassy', 'cast', 'genius', 'degree', 'boom', 'alien', 'mount', 'well', 'code', 'agent', 'lap', 'revolution', 'space']"
"['code', 'agent']",secret,"green: ['embassy', 'state', 'compound', 'genius', 'degree', 'vacuum', 'code', 'mass', 'agent'], black: ['witch', 'figure', 'mount'], tan: ['cast', 'scientist', 'time', 'boom', 'slip', 'date', 'alien', 'play', 'well', 'life', 'lap', 'revolution', 'space']"
"['embassy', 'figure']",diplomat,"green: ['embassy', 'state', 'compound', 'genius', 'degree', 'vacuum', 'mass'], black: ['witch', 'figure', 'mount'], tan: ['cast', 'scientist', 'time', 'boom', 'slip', 'date', 'alien', 'play', 'well', 'life', 'lap', 'revolution', 'space']"
"['fighter', 'beat']",boxer,"green: ['wind', 'fair', 'fighter', 'life', 'ray', 'state', 'luck', 'round'], black: ['spring', 'cycle', 'novel'], tan: ['beat', 'switch', 'spy', 'mine', 'wake', 'plot', 'light', 'mammoth', 'air', 'leprechaun', 'spot', 'point', 'grace']"
"['boom', 'embassy']",explode,"green: ['green', 'compound', 'cycle', 'leprechaun', 'crash', 'mine', 'vacuum', 'state'], black: ['boom', 'beat', 'fighter'], tan: ['date', 'witch', 'bond', 'pass', 'embassy', 'millionaire', 'field', 'lap', 'racket', 'disease', 'mammoth', 'undertaker']"
"['opera', 'conductor']",music,"green: ['death', 'angel', 'compound', 'mount', 'pass', 'march', 'opera', 'vacuum', 'play'], black: ['day', 'war', 'unicorn'], tan: ['comic', 'space', 'contract', 'point', 'drop', 'leprechaun', 'charge', 'round', 'conductor', 'cold', 'lead', 'racket', 'life']"
"['angel', 'death']",lucifer,"green: ['death', 'angel', 'compound', 'mount', 'pass', 'march', 'vacuum', 'play'], black: ['day', 'war', 'unicorn'], tan: ['comic', 'space', 'contract', 'point', 'drop', 'leprechaun', 'charge', 'round', 'cold', 'lead', 'racket', 'life']"
